theme,term,beta,se,z,p_two_sided,sigma2_inst,n_obs
T1_integration,(Intercept),0.21909294036078059,0.1609199153261086,1.3615029557825875,0.1733548000925313,0.0001,676
T1_integration,region_EU,-0.2800530207524945,0.18818935784968727,-1.4881448342906916,0.13671270189639848,0.0001,676
T1_integration,region_EA,-0.2414463767493503,0.23619824417947155,-1.022219185363169,0.3066771723755273,0.0001,676
T1_integration,region_LA,-0.33506159151185577,0.25409528731081077,-1.318645438323327,0.1872876754469204,0.0001,676
T1_integration,tier_upper,0.597599256584976,0.17904000293970754,3.3377974015461787,0.000844452976033796,0.0001,676
T1_integration,tier_mid,0.0,1000.0,0.0,1.0,0.0001,676
T1_integration,tier_regional,0.0,1000.0,0.0,1.0,0.0001,676
T1_integration,annotator_mistral,-0.04909085523064521,0.15667845319005294,-0.31332231223330614,0.7540358002364249,0.0001,676
T2_multimodal,(Intercept),-1.0983848451293383,0.1818833740139801,-6.038951339471595,1.5511901056925339e-09,0.0001,676
T2_multimodal,region_EU,-0.09418154885179354,0.20878897955913261,-0.4510848659285665,0.6519283848047608,0.0001,676
T2_multimodal,region_EA,-0.07172526245035003,0.2660943403483707,-0.269548245018843,0.7875078213353682,0.0001,676
T2_multimodal,region_LA,-0.33880337458546506,0.30053054285740594,-1.127350888745503,0.2595941545305693,0.0001,676
T2_multimodal,tier_upper,-0.027259240034064006,0.19776711149545914,-0.13783505168244264,0.8903707815063188,0.0001,676
T2_multimodal,tier_mid,0.0,1000.0,0.0,1.0,0.0001,676
T2_multimodal,tier_regional,0.0,1000.0,0.0,1.0,0.0001,676
T2_multimodal,annotator_mistral,0.27782919656555904,0.1761764436534074,1.576994011254612,0.11479690307355353,0.0001,676
T3_privacy,(Intercept),-0.5387895619521758,0.16656912212179967,-3.2346304950697817,0.0012180024694323222,0.0001,676
T3_privacy,region_EU,-0.08783597677185041,0.19461471392807117,-0.45133266133368644,0.6517498082482203,0.0001,676
T3_privacy,region_EA,0.1435066034931094,0.24284852574641919,0.5909305113219342,0.5545669814552424,0.0001,676
T3_privacy,region_LA,-0.5558019252557906,0.28753475483220226,-1.932990415646074,0.05323737849873335,0.0001,676
T3_privacy,tier_upper,-0.0957125092459306,0.1854392703806493,-0.516139375707543,0.6057570684499867,0.0001,676
T3_privacy,tier_mid,0.0,1000.0,0.0,1.0,0.0001,676
T3_privacy,tier_regional,0.0,1000.0,0.0,1.0,0.0001,676
T3_privacy,annotator_mistral,-0.09365655325923972,0.1636216262568281,-0.5723971543482402,0.5670529432726517,0.0001,676
T4_integrity,(Intercept),-0.4164025768260424,0.16297002547052641,-2.5550868978746646,0.010616129111139506,0.0001,676
T4_integrity,region_EU,-0.12901304545408102,0.1882807773331666,-0.6852162354619444,0.4932074802853207,0.0001,676
T4_integrity,region_EA,-0.8016775165400798,0.2704471318447319,-2.9642670309416923,0.0030340488004528647,0.0001,676
T4_integrity,region_LA,0.11368374996410917,0.2551628503433781,0.4455340964059718,0.6559338250444374,0.0001,676
T4_integrity,tier_upper,0.5564337645653955,0.17591115659459644,3.163152214658839,0.0015607070582877207,0.0001,676
T4_integrity,tier_mid,0.0,1000.0,0.0,1.0,0.0001,676
T4_integrity,tier_regional,0.0,1000.0,0.0,1.0,0.0001,676
T4_integrity,annotator_mistral,-0.14237242023326774,0.16097366034481278,-0.8844454423680225,0.3764558014392946,0.0001,676
T5_disclosure,(Intercept),-0.6790908074066877,0.16827634752016027,-4.035568975760717,5.447013384998533e-05,0.0001,676
T5_disclosure,region_EU,0.013762079253548545,0.18914873293859336,0.072757977490742,0.9419987113890149,0.0001,676
T5_disclosure,region_EA,-1.0777963657340592,0.300185573380713,-3.590433589448799,0.0003301283377641054,0.0001,676
T5_disclosure,region_LA,-0.8417151443084891,0.29637923210850076,-2.8399936740518568,0.0045114428467739305,0.0001,676
T5_disclosure,tier_upper,0.6581302548802351,0.1789577550215115,3.677573261919412,0.00023546345835847888,0.0001,676
T5_disclosure,tier_mid,0.0,1000.0,0.0,1.0,0.0001,676
T5_disclosure,tier_regional,0.0,1000.0,0.0,1.0,0.0001,676
T5_disclosure,annotator_mistral,0.08444050768291636,0.16780420537807758,0.5032085309939909,0.6148176675276564,0.0001,676
T6_equity,(Intercept),-2.1022728428184574,0.24326420940627538,-8.641932358029097,5.527015013485852e-18,0.0001,676
T6_equity,region_EU,-0.3754835832569272,0.2793599072843163,-1.344085437695903,0.17892076053596348,0.0001,676
T6_equity,region_EA,-0.04520725938022372,0.38339368022928505,-0.1179134182733214,0.9061362611765151,0.0001,676
T6_equity,region_LA,0.6049907909804376,0.32518076782049743,1.8604753135781933,0.06281830794250402,0.0001,676
T6_equity,tier_upper,0.9538584089833658,0.245336782268645,3.887955161729015,0.0001010922952791311,0.0001,676
T6_equity,tier_mid,0.0,1000.0,0.0,1.0,0.0001,676
T6_equity,tier_regional,0.0,1000.0,0.0,1.0,0.0001,676
T6_equity,annotator_mistral,-0.15380371982236,0.22669500874116352,-0.6784609889579459,0.49747945057172843,0.0001,676
T7_vendor_governance,(Intercept),-1.2993933816579075,0.19057518025083403,-6.81827182295015,9.214217826225787e-12,0.0001,676
T7_vendor_governance,region_EU,0.10188420385831884,0.2079920678981174,0.48984658351599103,0.6242424642147165,0.0001,676
T7_vendor_governance,region_EA,-0.41980073011546887,0.30440643526069144,-1.3790796825827765,0.16787018738613677,0.0001,676
T7_vendor_governance,region_LA,-1.136312511201609,0.3984326549891272,-2.8519562766074427,0.004345107683655531,0.0001,676
T7_vendor_governance,tier_upper,0.38959398164785897,0.19997087055155896,1.9482536660128658,0.05138461826377016,0.0001,676
T7_vendor_governance,tier_mid,0.0,1000.0,0.0,1.0,0.0001,676
T7_vendor_governance,tier_regional,0.0,1000.0,0.0,1.0,0.0001,676
T7_vendor_governance,annotator_mistral,0.15533743282230317,0.18596412329644552,0.8353086072127992,0.4035439724348629,0.0001,676
T8_pedagogical_redesign,(Intercept),-1.3988278247290404,0.19879234869874057,-7.036628088985915,1.9694760547881034e-12,0.0001,676
T8_pedagogical_redesign,region_EU,-0.7393588407659079,0.24916800784714563,-2.967310479198735,0.0030041742598473785,0.0001,676
T8_pedagogical_redesign,region_EA,0.2976110310471527,0.27491199409548966,1.0825683762047087,0.2790000503165796,0.0001,676
