condition,region,theme,prevalence
baseline_16fs,NA,T1_integration,0.45
baseline_16fs,NA,T2_multimodal,0.2
baseline_16fs,NA,T3_privacy,0.35
baseline_16fs,NA,T4_integrity,0.3
baseline_16fs,NA,T5_disclosure,0.1
baseline_16fs,NA,T6_equity,0.15
baseline_16fs,NA,T7_vendor_governance,0.35
baseline_16fs,NA,T8_pedagogical_redesign,0.15
baseline_16fs,EU,T1_integration,0.5
baseline_16fs,EU,T2_multimodal,0.25
baseline_16fs,EU,T3_privacy,0.4
baseline_16fs,EU,T4_integrity,0.4
baseline_16fs,EU,T5_disclosure,0.5
baseline_16fs,EU,T6_equity,0.2
baseline_16fs,EU,T7_vendor_governance,0.45
baseline_16fs,EU,T8_pedagogical_redesign,0.05
baseline_16fs,EA,T1_integration,0.6
baseline_16fs,EA,T2_multimodal,0.25
baseline_16fs,EA,T3_privacy,0.35
baseline_16fs,EA,T4_integrity,0.3
baseline_16fs,EA,T5_disclosure,0.15
baseline_16fs,EA,T6_equity,0.1
baseline_16fs,EA,T7_vendor_governance,0.1
baseline_16fs,EA,T8_pedagogical_redesign,0.3
baseline_16fs,LA,T1_integration,0.5
baseline_16fs,LA,T2_multimodal,0.15
baseline_16fs,LA,T3_privacy,0.4
baseline_16fs,LA,T4_integrity,0.4
baseline_16fs,LA,T5_disclosure,0.2
baseline_16fs,LA,T6_equity,0.3
baseline_16fs,LA,T7_vendor_governance,0.0
baseline_16fs,LA,T8_pedagogical_redesign,0.15
fewshot_0,NA,T1_integration,0.5
fewshot_0,NA,T2_multimodal,0.2
fewshot_0,NA,T3_privacy,0.35
fewshot_0,NA,T4_integrity,0.3
fewshot_0,NA,T5_disclosure,0.1
fewshot_0,NA,T6_equity,0.15
fewshot_0,NA,T7_vendor_governance,0.35
fewshot_0,NA,T8_pedagogical_redesign,0.15
fewshot_0,EU,T1_integration,0.6
fewshot_0,EU,T2_multimodal,0.25
fewshot_0,EU,T3_privacy,0.4
fewshot_0,EU,T4_integrity,0.5
fewshot_0,EU,T5_disclosure,0.6
fewshot_0,EU,T6_equity,0.2
fewshot_0,EU,T7_vendor_governance,0.45
fewshot_0,EU,T8_pedagogical_redesign,0.05
fewshot_0,EA,T1_integration,0.7
fewshot_0,EA,T2_multimodal,0.25
fewshot_0,EA,T3_privacy,0.35
fewshot_0,EA,T4_integrity,0.3
fewshot_0,EA,T5_disclosure,0.25
fewshot_0,EA,T6_equity,0.1
fewshot_0,EA,T7_vendor_governance,0.1
fewshot_0,EA,T8_pedagogical_redesign,0.35
fewshot_0,LA,T1_integration,0.6
fewshot_0,LA,T2_multimodal,0.15
fewshot_0,LA,T3_privacy,0.4
fewshot_0,LA,T4_integrity,0.45
fewshot_0,LA,T5_disclosure,0.3
fewshot_0,LA,T6_equity,0.3
fewshot_0,LA,T7_vendor_governance,0.0
fewshot_0,LA,T8_pedagogical_redesign,0.15
fewshot_4,NA,T1_integration,0.5
fewshot_4,NA,T2_multimodal,0.2
fewshot_4,NA,T3_privacy,0.35
fewshot_4,NA,T4_integrity,0.3
fewshot_4,NA,T5_disclosure,0.1
fewshot_4,NA,T6_equity,0.15
fewshot_4,NA,T7_vendor_governance,0.3
fewshot_4,NA,T8_pedagogical_redesign,0.15
fewshot_4,EU,T1_integration,0.55
fewshot_4,EU,T2_multimodal,0.35
fewshot_4,EU,T3_privacy,0.4
fewshot_4,EU,T4_integrity,0.45
fewshot_4,EU,T5_disclosure,0.55
fewshot_4,EU,T6_equity,0.2
fewshot_4,EU,T7_vendor_governance,0.45
fewshot_4,EU,T8_pedagogical_redesign,0.05
fewshot_4,EA,T1_integration,0.6
fewshot_4,EA,T2_multimodal,0.25
fewshot_4,EA,T3_privacy,0.35
fewshot_4,EA,T4_integrity,0.3
fewshot_4,EA,T5_disclosure,0.15
fewshot_4,EA,T6_equity,0.1
fewshot_4,EA,T7_vendor_governance,0.1
fewshot_4,EA,T8_pedagogical_redesign,0.35
fewshot_4,LA,T1_integration,0.5
fewshot_4,LA,T2_multimodal,0.15
fewshot_4,LA,T3_privacy,0.4
fewshot_4,LA,T4_integrity,0.4
fewshot_4,LA,T5_disclosure,0.2
fewshot_4,LA,T6_equity,0.3
fewshot_4,LA,T7_vendor_governance,0.0
fewshot_4,LA,T8_pedagogical_redesign,0.1
fewshot_8,NA,T1_integration,0.5
fewshot_8,NA,T2_multimodal,0.2
fewshot_8,NA,T3_privacy,0.35
fewshot_8,NA,T4_integrity,0.3
fewshot_8,NA,T5_disclosure,0.1
fewshot_8,NA,T6_equity,0.15
fewshot_8,NA,T7_vendor_governance,0.35
fewshot_8,NA,T8_pedagogical_redesign,0.15
fewshot_8,EU,T1_integration,0.6
fewshot_8,EU,T2_multimodal,0.25
fewshot_8,EU,T3_privacy,0.4
fewshot_8,EU,T4_integrity,0.45
