region,theme,n_with,n_total,prevalence
NA,T1_integration,19,20,0.95
EU,T1_integration,16,18,0.8888888888888888
EA,T1_integration,10,13,0.7692307692307693
LA,T1_integration,10,13,0.7692307692307693
NA,T2_multimodal,15,20,0.75
EU,T2_multimodal,12,18,0.6666666666666666
EA,T2_multimodal,9,13,0.6923076923076923
LA,T2_multimodal,6,13,0.46153846153846156
NA,T3_privacy,17,20,0.85
EU,T3_privacy,12,18,0.6666666666666666
EA,T3_privacy,9,13,0.6923076923076923
LA,T3_privacy,5,13,0.38461538461538464
NA,T4_integrity,17,20,0.85
EU,T4_integrity,12,18,0.6666666666666666
EA,T4_integrity,6,13,0.46153846153846156
LA,T4_integrity,12,13,0.9230769230769231
NA,T5_disclosure,18,20,0.9
EU,T5_disclosure,11,18,0.6111111111111112
EA,T5_disclosure,5,13,0.38461538461538464
LA,T5_disclosure,6,13,0.46153846153846156
NA,T6_equity,11,20,0.55
EU,T6_equity,5,18,0.2777777777777778
EA,T6_equity,3,13,0.23076923076923078
LA,T6_equity,5,13,0.38461538461538464
NA,T7_vendor_governance,16,20,0.8
EU,T7_vendor_governance,12,18,0.6666666666666666
EA,T7_vendor_governance,4,13,0.3076923076923077
LA,T7_vendor_governance,2,13,0.15384615384615385
NA,T8_pedagogical_redesign,14,20,0.7
EU,T8_pedagogical_redesign,6,18,0.3333333333333333
EA,T8_pedagogical_redesign,8,13,0.6153846153846154
LA,T8_pedagogical_redesign,5,13,0.38461538461538464
