theme,region,n_with,n_total,prevalence,wilson_lo,wilson_hi
T1_integration,NA,19,20,0.95,0.763868806553258,0.9911185511992047
T1_integration,EU,16,18,0.8888888888888888,0.672002348698212,0.9689804773543876
T1_integration,EA,10,13,0.7692307692307693,0.49743624053272495,0.9182047128150143
T1_integration,LA,10,13,0.7692307692307693,0.49743624053272495,0.9182047128150143
T2_multimodal,NA,15,20,0.75,0.531299122381256,0.8881382985923343
T2_multimodal,EU,12,18,0.6666666666666666,0.43749467295945105,0.837212252491663
T2_multimodal,EA,9,13,0.6923076923076923,0.42369343180549035,0.8731929634428948
T2_multimodal,LA,6,13,0.46153846153846156,0.23206067809538303,0.7085620428549398
T3_privacy,NA,17,20,0.85,0.6395811352592431,0.9476312541037835
T3_privacy,EU,12,18,0.6666666666666666,0.43749467295945105,0.837212252491663
T3_privacy,EA,9,13,0.6923076923076923,0.42369343180549035,0.8731929634428948
T3_privacy,LA,5,13,0.38461538461538464,0.17709707797762575,0.6447710848733431
T4_integrity,NA,17,20,0.85,0.6395811352592431,0.9476312541037835
T4_integrity,EU,12,18,0.6666666666666666,0.43749467295945105,0.837212252491663
T4_integrity,EA,6,13,0.46153846153846156,0.23206067809538303,0.7085620428549398
T4_integrity,LA,12,13,0.9230769230769231,0.6668604907890041,0.9862895787574435
T5_disclosure,NA,18,20,0.9,0.6989663547715128,0.9721335187862319
T5_disclosure,EU,11,18,0.6111111111111112,0.3861904160223791,0.7969475342783638
T5_disclosure,EA,5,13,0.38461538461538464,0.17709707797762575,0.6447710848733431
T5_disclosure,LA,6,13,0.46153846153846156,0.23206067809538303,0.7085620428549398
T6_equity,NA,11,20,0.55,0.34208534245034233,0.7418021417443759
T6_equity,EU,5,18,0.2777777777777778,0.12499753379553993,0.5087265656029746
T6_equity,EA,3,13,0.23076923076923078,0.08179528718498569,0.5025637594672749
T6_equity,LA,5,13,0.38461538461538464,0.17709707797762575,0.6447710848733431
T7_vendor_governance,NA,16,20,0.8,0.5839825677481064,0.919342337420202
T7_vendor_governance,EU,12,18,0.6666666666666666,0.43749467295945105,0.837212252491663
T7_vendor_governance,EA,4,13,0.3076923076923077,0.12680703655710515,0.5763065681945096
T7_vendor_governance,LA,2,13,0.15384615384615385,0.043258178358081184,0.4223463101948254
T8_pedagogical_redesign,NA,14,20,0.7,0.4810271816464765,0.8545227551323956
T8_pedagogical_redesign,EU,6,18,0.3333333333333333,0.1627877475083369,0.5625053270405489
T8_pedagogical_redesign,EA,8,13,0.6153846153846154,0.355228915126657,0.8229029220223743
T8_pedagogical_redesign,LA,5,13,0.38461538461538464,0.17709707797762575,0.6447710848733431
