use_case,region,n,mean,std
assessment,NA,20,0.05678571428571429,0.4274946616766391
assessment,EU,18,0.01219135802469137,0.399149352953307
assessment,EA,13,0.20641025641025643,0.5882939261880438
assessment,LA,13,0.022435897435897426,0.8190822029995861
research,NA,20,0.2961507936507936,0.3591001111534165
research,EU,18,0.3104938271604938,0.43418359222039843
research,EA,13,0.4282051282051282,0.6840573608510275
research,LA,13,0.28205128205128205,0.5798890993296628
teaching,NA,20,0.5748809523809524,0.3737264845589231
teaching,EU,18,0.38070987654320987,0.4775900910253376
teaching,EA,13,0.5448717948717948,0.7844373017277292
teaching,LA,13,0.42948717948717946,0.6390514471752272
administration,NA,20,0.19884920634920636,0.2132496807274895
administration,EU,18,0.26558641975308644,0.2751792491816605
administration,EA,13,0.15641025641025635,0.4641568651238453
administration,LA,13,0.006410256410256405,0.2601226973253539
