protocol,theme,region,n_institutions,n_with_theme,prevalence
brave,T1_integration,NA,4,4,1.0
brave,T1_integration,EU,1,1,1.0
brave,T1_integration,EA,1,1,1.0
brave,T2_multimodal,NA,4,4,1.0
brave,T2_multimodal,EU,1,1,1.0
brave,T2_multimodal,EA,1,1,1.0
brave,T3_privacy,NA,4,4,1.0
brave,T3_privacy,EU,1,1,1.0
brave,T3_privacy,EA,1,1,1.0
brave,T4_integrity,NA,4,3,0.75
brave,T4_integrity,EU,1,0,0.0
brave,T4_integrity,EA,1,0,0.0
brave,T5_disclosure,NA,4,4,1.0
brave,T5_disclosure,EU,1,0,0.0
brave,T5_disclosure,EA,1,0,0.0
brave,T6_equity,NA,4,3,0.75
brave,T6_equity,EU,1,1,1.0
brave,T6_equity,EA,1,0,0.0
brave,T7_vendor_governance,NA,4,4,1.0
brave,T7_vendor_governance,EU,1,1,1.0
brave,T7_vendor_governance,EA,1,1,1.0
brave,T8_pedagogical_redesign,NA,4,3,0.75
brave,T8_pedagogical_redesign,EU,1,1,1.0
brave,T8_pedagogical_redesign,EA,1,1,1.0
manual,T1_integration,NA,15,14,0.9333333333333333
manual,T1_integration,EU,14,13,0.9285714285714286
manual,T1_integration,EA,12,9,0.75
manual,T1_integration,LA,13,10,0.7692307692307693
manual,T2_multimodal,NA,15,11,0.7333333333333333
manual,T2_multimodal,EU,14,9,0.6428571428571429
manual,T2_multimodal,EA,12,8,0.6666666666666666
manual,T2_multimodal,LA,13,6,0.46153846153846156
manual,T3_privacy,NA,15,13,0.8666666666666667
manual,T3_privacy,EU,14,10,0.7142857142857143
manual,T3_privacy,EA,12,8,0.6666666666666666
manual,T3_privacy,LA,13,5,0.38461538461538464
manual,T4_integrity,NA,15,14,0.9333333333333333
manual,T4_integrity,EU,14,11,0.7857142857142857
manual,T4_integrity,EA,12,6,0.5
manual,T4_integrity,LA,13,12,0.9230769230769231
manual,T5_disclosure,NA,15,14,0.9333333333333333
manual,T5_disclosure,EU,14,10,0.7142857142857143
manual,T5_disclosure,EA,12,5,0.4166666666666667
manual,T5_disclosure,LA,13,6,0.46153846153846156
manual,T6_equity,NA,15,8,0.5333333333333333
manual,T6_equity,EU,14,4,0.2857142857142857
manual,T6_equity,EA,12,3,0.25
manual,T6_equity,LA,13,5,0.38461538461538464
manual,T7_vendor_governance,NA,15,12,0.8
manual,T7_vendor_governance,EU,14,10,0.7142857142857143
manual,T7_vendor_governance,EA,12,3,0.25
manual,T7_vendor_governance,LA,13,2,0.15384615384615385
manual,T8_pedagogical_redesign,NA,15,11,0.7333333333333333
manual,T8_pedagogical_redesign,EU,14,5,0.35714285714285715
manual,T8_pedagogical_redesign,EA,12,7,0.5833333333333334
manual,T8_pedagogical_redesign,LA,13,5,0.38461538461538464
