region,theme,n_paired,kappa,p_obs,p_exp
NA,T1_integration,136,0.8464664709866788,0.9264705882352942,0.5210856401384083
NA,T2_multimodal,136,0.7985998922994075,0.9191176470588235,0.5983996539792387
NA,T3_privacy,136,0.9514747859181731,0.9779411764705882,0.5454152249134948
NA,T4_integrity,136,0.7911822768150911,0.8970588235294118,0.5070285467128027
NA,T5_disclosure,136,0.8934646374216652,0.9485294117647058,0.5168685121107266
NA,T6_equity,136,0.7989864864864863,0.9485294117647058,0.7439446366782008
NA,T7_vendor_governance,136,0.8076923076923078,0.9264705882352942,0.6176470588235294
NA,T8_pedagogical_redesign,136,0.8585017835909631,0.9485294117647058,0.6362456747404843
EU,T1_integration,105,0.6930946291560102,0.8476190476190476,0.5034920634920635
EU,T2_multimodal,105,0.7511848341232228,0.9047619047619048,0.617233560090703
EU,T3_privacy,105,0.9353049907578558,0.9714285714285714,0.5583673469387755
EU,T4_integrity,105,0.9212598425196851,0.9619047619047619,0.5161904761904762
EU,T5_disclosure,105,0.9608938547486032,0.9809523809523809,0.5129251700680272
EU,T6_equity,105,0.8119964189794092,0.9619047619047619,0.7973696145124717
EU,T7_vendor_governance,105,0.6944257891202148,0.8761904761904762,0.5948299319727892
EU,T8_pedagogical_redesign,105,0.6713615023474181,0.9238095238095239,0.7681632653061224
EA,T1_integration,55,0.7843137254901961,0.8909090909090909,0.4942148760330578
EA,T2_multimodal,55,0.9531914893617021,0.9818181818181818,0.6115702479338844
EA,T3_privacy,55,0.8854961832061068,0.9454545454545454,0.5236363636363637
EA,T4_integrity,55,0.573643410852713,0.8545454545454545,0.6588429752066116
EA,T5_disclosure,55,0.9304677623261695,0.9818181818181818,0.7385123966942148
EA,T6_equity,55,0.8990825688073394,0.9818181818181818,0.8198347107438017
EA,T7_vendor_governance,55,0.7349397590361445,0.9272727272727272,0.7256198347107438
EA,T8_pedagogical_redesign,55,0.8595744680851063,0.9454545454545454,0.6115702479338844
LA,T1_integration,42,0.8099547511312218,0.9047619047619048,0.4988662131519274
LA,T2_multimodal,42,0.7209302325581396,0.9047619047619048,0.6587301587301587
LA,T3_privacy,42,0.8691588785046728,0.9523809523809523,0.6360544217687075
LA,T4_integrity,42,0.8551724137931035,0.9285714285714286,0.5068027210884354
LA,T5_disclosure,42,0.7209302325581396,0.9047619047619048,0.6587301587301587
LA,T6_equity,42,0.8590604026845636,0.9523809523809523,0.6621315192743764
LA,T7_vendor_governance,42,0.46153846153846184,0.9047619047619048,0.8231292517006802
LA,T8_pedagogical_redesign,42,0.7804878048780489,0.9285714285714286,0.6746031746031745
